combined_id,food_group,fermented_binary,genus_Streptococcus,genus_Acetobacter,phylum_Firmicutes,genus_Photobacterium,div_richness,genus_Gluconobacter,genus_Brochothrix,phylum_Pseudomonadota,genus_Latilactobacillus,genus_Psychrobacter,genus_Pantoea,div_shannon,genus_Pseudoalteromonas,country_ITA,genus_Levilactobacillus,genus_Liquorilactobacillus,genus_Lactococcus,genus_Lactobacillus,phylum_Ascomycota,genus_Enterobacter,genus_Saccharomyces,genus_Lentilactobacillus,genus_Lactiplantibacillus,genus_Lacticaseibacillus,genus_Leuconostoc,genus_Paucilactobacillus,genus_Pseudomonas,genus_Pediococcus,genus_Limosilactobacillus,phylum_Bacteroidota,genus_Staphylococcus,genus_Acinetobacter,genus_Weissella,genus_Pichia,genus_Bacillus,genus_Debaryomyces,genus_Vibrio,country_Other,phylum_Actinomycetota,country_USA,genus_Bifidobacterium,genus_Vagococcus,genus_Enterococcus,genus_Klebsiella,genus_Carnobacterium,genus_Flavobacterium,genus_Chryseobacterium,genus_Brevibacterium,country_ESP,genus_Macrococcoides,genus_Rahnella,country_IRL,genus_Serratia,genus_Rothia,genus_Escherichia,genus_Microbacterium,genus_Oenococcus,genus_Kocuria,genus_Corynebacterium,genus_Hafnia,genus_Citrobacter,genus_Brachybacterium,genus_Arthrobacter,genus_Raoultella,phylum_Deinococcota,genus_Moraxella,genus_Cutibacterium,genus_Companilactobacillus,genus_Glutamicibacter,genus_Mammaliicoccus,genus_Epilithonimonas,genus_Kluyvera,genus_Penicillium,genus_Loigolactobacillus,genus_Marinilactibacillus,country_AUT,genus_Halomonas,genus_Aeromonas,genus_Schleiferilactobacillus,genus_Tetragenococcus
AlmeidaO_2020__SRR8742576,Cocoa / fermented seeds,0,0.0,0.83973,15.42746,0.0,43.0,20.99698,0.0,83.23507000000001,0.0,0.0,14.82217,2.458551501199296,0.0,0.0,0.0,0.0,0.14109,0.0,0.89747,5.48767,0.89747,0.0,0.0,0.0,0.33599,0.0,0.0,0.0,14.74891,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AlmeidaO_2020__SRR8742577,Cocoa / fermented seeds,0,0.0,0.15559,0.01121,0.0,31.0,2.8029,0.0,96.64845,0.0,0.0,0.91876,1.4755304113732763,0.0,0.0,0.0,0.0,0.0,0.0,3.0887000000000002,0.1556,3.06707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25166,0.0,0.0,0.0,0.02163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AlmeidaO_2020__SRR8742578,Cocoa / fermented seeds,0,0.0,0.0,0.41319,0.0,26.0,0.17415,0.0,99.48988000000001,0.0,0.0,35.462990000000005,1.6573880372572005,0.0,0.0,0.0,0.0,0.40403,0.0,0.0,8.33615,0.0,0.0,0.0,0.0,0.00916,0.0,0.0,0.0,0.0,0.09693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00994,0.08699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AlmeidaO_2020__SRR8742579,Cocoa / fermented seeds,0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,99.37081,0.0,0.0,10.99388,0.9781696721755825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.62919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AlmeidaO_2020__SRR8742580,Cocoa / fermented seeds,0,0.0,59.1654,37.31576,0.0,46.0,0.01466,0.0,62.432500000000005,0.0,0.0,0.03211,1.4295743432641483,0.0,0.0,0.0181,0.40044,0.0,0.0,0.23697000000000001,0.0,0.16073,0.0,0.24468,0.0,0.0,0.03269,0.0,0.0,36.39586,0.01475,0.0,0.0,0.0,0.07624,0.01429,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AlmeidaO_2020__SRR8742581,Cocoa / fermented seeds,0,0.0,0.63566,98.17801,0.0,40.0,0.04227,0.0,1.58941,0.0,0.0,0.017009999999999997,0.14867313586828546,0.0,0.0,0.0,0.13745,0.0,0.0,0.20512,0.00227,0.05368,0.0,0.00653,0.0,0.0,0.0,0.0,0.0,97.98457,0.02322,0.01012,0.00182,0.0,0.15144,0.0,0.0,0.0,1.0,0.00427,0.0,0.0,0.0,0.0027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AlmeidaO_2020__SRR8742582,Cocoa / fermented seeds,0,0.0,1.99801,85.88199,0.0,52.0,10.261519999999999,0.0,14.08522,0.0,0.0,0.11031,0.7086528415889272,0.0,0.0,0.0,0.10752,0.0,0.0,0.03279,0.01538,0.0041,0.0,0.08283,0.0,0.0639,0.0,0.0,0.0,85.62774,0.0,0.0,0.0,0.0,0.02869,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AlmeidaO_2020__SRR8742584,Cocoa / fermented seeds,0,0.0,93.44675,6.5205400000000004,0.0,30.0,0.0,0.0,93.47418,0.0,0.0,0.0,0.6436025493330092,0.0,0.0,0.0,0.0,0.0,0.0,0.0053,0.0,0.00059,0.0,0.0,0.0,0.0,0.0,0.0,0.86143,0.92977,0.0,0.0,0.0,0.0,0.00471,3.2757,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AlmeidaO_2020__SRR8742585,Cocoa / fermented seeds,0,0.0,86.07799999999999,11.34604,0.0,52.0,0.2095,0.0,86.70304999999999,0.0,0.0,0.0,1.1990395018520765,0.0,0.0,0.0,0.10121,0.0,0.0,1.95069,0.0,0.15768,0.0,0.00553,0.0,0.0,0.0,0.0,0.0,9.05524,0.00023,0.0,0.0,0.0,1.79301,0.91947,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AlvarezOrdonezA_xxxx__C01-19,Meat,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0968215877589733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
